# k re_q88 im_q88
0 0.000000 0.000000
1 0.000000 0.000000
2 0.000000 0.000000
3 -0.003906 0.003906
4 0.000000 0.000000
5 0.000000 0.000000
6 0.000000 0.000000
7 0.085938 0.007812
8 0.000000 0.000000
9 0.000000 0.000000
10 0.000000 0.000000
11 -0.019531 0.011719
12 0.000000 0.000000
13 0.000000 0.000000
14 0.000000 0.000000
15 -0.121094 0.011719
16 0.000000 0.000000
17 0.000000 0.000000
18 0.000000 0.000000
19 -0.027344 -0.003906
20 0.000000 0.000000
21 0.000000 0.000000
22 0.000000 0.000000
23 -0.019531 -0.011719
24 0.000000 0.000000
25 0.000000 0.000000
26 0.000000 0.000000
27 -0.003906 -0.003906
28 0.000000 0.000000
29 0.000000 0.000000
30 0.000000 0.000000
31 0.000000 0.000000
32 0.000000 0.000000
33 0.000000 0.000000
34 0.000000 0.000000
35 0.003906 -0.003906
36 0.000000 0.000000
37 0.000000 0.000000
38 0.000000 0.000000
39 0.039062 0.015625
40 0.000000 0.000000
41 0.000000 0.000000
42 0.000000 0.000000
43 -0.019531 -0.003906
44 0.000000 0.000000
45 0.000000 0.000000
46 0.000000 0.000000
47 -0.109375 0.000000
48 0.000000 0.000000
49 0.000000 0.000000
50 0.000000 0.000000
51 0.019531 0.003906
52 0.000000 0.000000
53 0.000000 0.000000
54 0.000000 0.000000
55 -0.027344 0.007812
56 0.000000 0.000000
57 0.000000 0.000000
58 0.000000 0.000000
59 0.007812 -0.003906
60 0.000000 0.000000
61 0.000000 0.000000
62 0.000000 0.000000
63 32.156250 -0.042969
64 0.000000 0.000000
65 0.000000 0.000000
66 0.000000 0.000000
67 -0.035156 0.003906
68 0.000000 0.000000
69 0.000000 0.000000
70 0.000000 0.000000
71 0.093750 0.000000
72 0.000000 0.000000
73 0.000000 0.000000
74 0.000000 0.000000
75 0.027344 0.011719
76 0.000000 0.000000
77 0.000000 0.000000
78 0.000000 0.000000
79 0.027344 -0.003906
80 0.000000 0.000000
81 0.000000 0.000000
82 0.000000 0.000000
83 0.019531 -0.003906
84 0.000000 0.000000
85 0.000000 0.000000
86 0.000000 0.000000
87 -0.011719 -0.003906
88 0.000000 0.000000
89 0.000000 0.000000
90 0.000000 0.000000
91 -0.050781 -0.003906
92 0.000000 0.000000
93 0.000000 0.000000
94 0.000000 0.000000
95 0.070312 0.015625
96 0.000000 0.000000
97 0.000000 0.000000
98 0.000000 0.000000
99 0.035156 -0.003906
100 0.000000 0.000000
101 0.000000 0.000000
102 0.000000 0.000000
103 0.015625 0.007812
104 0.000000 0.000000
105 0.000000 0.000000
106 0.000000 0.000000
107 -0.003906 -0.003906
108 0.000000 0.000000
109 0.000000 0.000000
110 0.000000 0.000000
111 -0.015625 -0.007812
112 0.000000 0.000000
113 0.000000 0.000000
114 0.000000 0.000000
115 0.019531 0.003906
116 0.000000 0.000000
117 0.000000 0.000000
118 0.000000 0.000000
119 -0.050781 0.007812
120 0.000000 0.000000
121 0.000000 0.000000
122 0.000000 0.000000
123 0.031250 -0.003906
124 0.000000 0.000000
125 0.000000 0.000000
126 0.000000 0.000000
127 -0.132812 -0.003906
